,household_key,revenue,recency,frequency,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,received_campA_18,redeemed_campA_18,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,MEAT_spend
117,1752,464.69000000000017,3,11,3,1,1,5,Mid-value,1,0,295.92999999999995,,13.9,20.0,42.620000000000005,47.63
118,2272,454.01000000000005,0,11,3,1,1,5,Mid-value,0,0,245.50999999999996,55.99,17.339999999999996,,92.86,29.630000000000003
119,257,355.09999999999985,3,14,3,1,1,5,Mid-value,0,0,152.55999999999997,23.81,17.71,,9.01,82.82000000000001
120,2335,386.44000000000005,5,12,3,1,1,5,Mid-value,0,0,174.11999999999992,6.37,11.89,,123.74000000000001,57.17999999999999
121,1509,545.6000000000005,0,17,3,1,1,5,Mid-value,1,0,318.68,39.1,38.510000000000005,55.55,46.46,
122,648,273.93000000000006,1,13,3,1,1,5,Mid-value,0,0,89.39,1.99,58.74,,54.410000000000004,3.99
123,2120,446.25000000000006,6,15,3,1,1,5,Mid-value,0,0,213.85,,30.369999999999997,76.78,52.09,54.41
124,928,298.49999999999983,3,15,3,1,1,5,Mid-value,1,0,71.19,,35.38000000000001,,26.03,
125,321,576.6100000000002,1,10,3,1,1,5,Mid-value,1,0,328.29,22.82,38.52,,19.94,142.73
126,598,462.1800000000002,0,21,3,1,1,5,Mid-value,1,0,334.64000000000004,,11.14,20.0,22.37,49.55999999999999
127,1648,556.5800000000002,2,10,3,1,1,5,Mid-value,1,1,142.94,,,218.01,191.63000000000014,
128,378,341.9200000000002,1,20,3,1,1,5,Mid-value,1,1,208.51000000000005,1.66,13.22,,72.48,8.22
129,49,542.6600000000001,0,15,3,1,1,5,Mid-value,1,0,318.07000000000005,19.79,14.97,34.0,39.82000000000001,60.17
130,1627,589.8000000000001,2,18,3,1,1,5,Mid-value,1,0,276.93000000000006,,69.69999999999999,84.0,50.67,54.37999999999999
131,2237,599.6900000000004,0,15,3,1,1,5,Mid-value,1,1,375.0300000000001,,29.069999999999993,23.5,66.53999999999999,64.72
132,745,495.2200000000003,1,15,3,1,1,5,Mid-value,1,0,306.23000000000013,,76.56,,31.590000000000003,11.260000000000002
133,727,360.30000000000024,6,14,3,1,1,5,Mid-value,0,0,236.29000000000005,14.17,12.91,,12.07,11.9
134,983,473.5900000000002,2,21,3,1,1,5,Mid-value,1,1,294.47999999999996,34.09,28.38999999999999,,33.719999999999985,14.07
135,1014,364.27,0,11,3,1,1,5,Mid-value,1,0,194.80999999999986,11.48,42.28,,24.88,26.740000000000002
136,464,464.6500000000001,0,19,3,1,1,5,Mid-value,1,1,281.86,6.550000000000001,13.99,72.0,15.43,46.870000000000005
137,841,299.0900000000005,3,19,3,1,1,5,Mid-value,0,0,74.69,17.64,5.49,20.15,101.63999999999996,48.99999999999999
138,1816,392.94000000000017,0,18,3,1,1,5,Mid-value,1,0,170.65,,31.080000000000002,,139.78,11.04
139,8,478.20000000000016,2,10,3,1,1,5,Mid-value,1,0,340.61,,43.320000000000014,,30.310000000000002,17.340000000000003
140,820,491.2000000000002,3,18,3,1,1,5,Mid-value,1,0,171.95,5.99,6.21,,264.12000000000006,9.58
141,1545,326.35000000000014,3,21,3,1,1,5,Mid-value,1,0,200.77000000000004,,26.560000000000002,,57.67,3.45
142,945,587.05,0,10,3,1,1,5,Mid-value,0,0,289.3999999999999,93.14,50.440000000000005,,81.53000000000002,53.89
143,172,274.2100000000001,1,20,3,1,1,5,Mid-value,0,0,101.75999999999998,,,117.42999999999999,46.030000000000015,
144,543,495.71999999999923,0,12,3,1,1,5,Mid-value,1,0,292.9899999999995,,1.22,,50.57,94.4
145,2395,273.49,5,15,3,1,1,5,Mid-value,1,0,113.53,13.97,,,58.84000000000001,31.36
146,1160,419.95,1,18,3,1,1,5,Mid-value,1,0,270.1099999999999,4.99,19.02,,7.970000000000001,85.24000000000001
147,196,567.6400000000003,0,11,3,1,1,5,Mid-value,1,1,296.65999999999974,26.35,44.81,60.0,11.0,77.59
