household_key,received_campaign,redeemed_coupons,total_campaigns_received,TypeA,TypeB,TypeC,total_campaigns_engaged,total_coupons_received,total_coupons_redeemed,camp_conversion_rate,coupon_conversion_rate,revenue,recency,frequency,GROCERY_spend,DELI_spend,PRODUCE_spend,KIOSK-GAS_spend,DRUG GM_spend,NUTRITION_spend,SALAD BAR_spend,MEAT_spend,recency_cluster,frequency_cluster,revenue_cluster,rfm_score,segment,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
2127,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461.82,4,26,782.6999999999999,52.53,58.279999999999994,145.5,149.32000000000002,5.0,4.27,12.07,3,0,0,3,Low-value,,,,,,,
2128,1,0,2.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1877.7100000000005,15,82,555.1900000000004,0.0,39.38999999999999,216.17000000000002,849.6600000000003,0.0,0.0,53.93000000000001,3,0,0,3,Low-value,,,,,,,
2129,1,0,8.0,3.0,5.0,0.0,0.0,116.0,0.0,0.0,0.0,7164.989999999951,4,163,3832.849999999992,166.86,393.83000000000044,419.12,524.4099999999999,6.9799999999999995,15.74,423.8700000000001,3,1,2,6,Mid-value,25-34,U,35-49K,Unknown,1 Adult Kids,2,1
2130,1,1,3.0,3.0,0.0,0.0,15.0,48.0,15.0,5.0,0.31,6060.3899999999385,6,97,3601.4099999999844,217.41000000000008,604.4100000000007,67.59,468.1600000000001,55.910000000000004,0.0,429.33,3,0,2,5,Mid-value,25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown
2131,1,0,6.0,3.0,1.0,2.0,0.0,119.0,0.0,0.0,0.0,3982.869999999983,29,140,2088.6500000000015,356.5100000000001,522.5400000000002,0.0,126.73000000000005,45.61,29.88,298.1600000000002,3,1,1,5,Mid-value,,,,,,,
2132,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.87,12,42,267.57000000000005,5.97,163.74,0.0,67.60000000000001,4.99,0.0,0.0,3,0,0,3,Low-value,,,,,,,
2133,1,0,7.0,3.0,3.0,1.0,0.0,124.0,0.0,0.0,0.0,6759.919999999924,2,141,3755.879999999976,330.2100000000001,376.94000000000017,679.3899999999999,533.1500000000007,6.88,11.46,401.09,3,1,2,6,Mid-value,55-64,A,100-124K,Unknown,2 Adults No Kids,2,None/Unknown
2134,1,1,9.0,5.0,3.0,1.0,1.0,112.0,1.0,0.11,0.01,9129.829999999884,0,89,3982.8199999999783,26.53,1389.9600000000019,0.0,1564.020000000002,244.58000000000007,0.0,852.64,3,0,2,5,Mid-value,35-44,U,35-49K,Unknown,Single Female,1,None/Unknown
2135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.2900000000006,34,45,413.4000000000002,66.51000000000002,82.06000000000002,10.76,49.99000000000001,33.3,0.0,9.6,3,0,0,3,Low-value,,,,,,,
2136,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.430000000003,7,18,671.4999999999999,43.620000000000005,294.9200000000001,0.0,179.97999999999993,126.47,0.0,81.52999999999999,3,0,0,3,Low-value,,,,,,,
2137,1,0,3.0,3.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,2970.1399999999903,26,186,1007.4099999999994,328.0100000000001,358.5600000000002,464.02,144.35999999999996,0.0,0.0,272.5899999999999,3,1,1,5,Mid-value,,,,,,,
2138,1,0,3.0,2.0,1.0,0.0,0.0,47.0,0.0,0.0,0.0,1878.4800000000032,22,66,1069.7000000000007,45.86,40.339999999999996,0.0,308.1300000000002,0.0,0.0,174.09000000000003,3,0,0,3,Low-value,,,,,,,
2139,1,0,9.0,2.0,5.0,2.0,0.0,159.0,0.0,0.0,0.0,4695.589999999972,0,372,2220.320000000002,312.81000000000006,163.0,253.85999999999999,800.9000000000015,20.37,60.480000000000004,224.69000000000003,3,2,1,6,Mid-value,,,,,,,
2140,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1567.8900000000026,59,51,690.6200000000003,41.00000000000001,256.9100000000001,43.09,139.21999999999997,6.6899999999999995,73.72,108.37,2,0,0,2,Low-value,65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
2141,1,0,8.0,3.0,5.0,0.0,0.0,132.0,0.0,0.0,0.0,5246.669999999966,2,90,3110.1699999999987,221.83000000000004,160.31000000000003,0.0,1019.100000000001,0.0,0.0,90.61000000000001,3,0,1,4,Mid-value,,,,,,,
2142,1,0,5.0,3.0,2.0,0.0,0.0,80.0,0.0,0.0,0.0,7631.119999999918,0,106,5426.659999999969,224.46000000000006,376.5700000000002,118.0,307.7100000000001,27.930000000000007,0.0,187.39,3,0,2,5,Mid-value,,,,,,,
2143,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.65000000000003,101,9,133.45999999999998,0.0,8.72,0.0,13.569999999999999,0.0,18.16,89.13000000000001,2,0,0,2,Low-value,,,,,,,
2144,1,0,1.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,2265.9000000000015,69,49,977.3600000000008,117.35999999999999,268.74999999999994,138.21,150.87,16.41,0.0,354.3899999999998,2,0,0,2,Low-value,,,,,,,
2145,1,0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1090.6200000000008,27,38,526.72,38.12,91.76999999999998,72.1,270.32,32.94,0.0,11.84,3,0,0,3,Low-value,,,,,,,
